CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,Priority Date,Grant Date,,Publication Number
127-42-4,Methyl-alpha-ionone,Woody,Floral,Violet,2007-01-23,2017-12-06,3970d,US-2008176781-A1
3239-37-0,"(Z)-6,10-Dimethylundeca-5,9-dien-2-yl acetate",Citrus,Tangerine,Fresh,2007-01-23,,,US-2008176781-A1
24048-14-4,"2,6,10-Trimethylundeca-5,9-dienol",Aldehydic,Waxy,Floral,2006-12-15,,,JP-2008150308-A
947237-75-4,"1,5-Cyclododecadiene, 9-methoxy-1,6,10-trimethyl-",Woody,Amber,Leathery,2006-12-01,2014-02-26,2644d,BR-PI0719754-A2
68611-23-4,"3-Pentanone, 1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-, reaction products with 2-propyn-1
ol",Animal like,Amber,Leathery,2006-09-04,2014-11-19,2998d,EP-1894603-A1
68228-06-8,4-Methyl-1-oxaspiro[5.5]undecene,Herbal,Camphoraceous,Lavender,2006-09-04,2014-11-19,2998d,EP-1894603-A1
68908-82-7,"Hydroxycitronellal, indole condensation products",Floral,Jasmin,warm,2006-09-04,2014-11-19,2998d,EP-1894603-A1
59191-78-5,3-(Hydroxymethyl)-2-octanone,Herbal,Sweet,Lavender,2006-07-28,2013-05-01,2469d,BR-PI0714613-A2
478695-70-4,"Propanedioic acid, 1-(3,3-dimethylcyclohexyl) ethyl, ethyl ester",Musk like,Apple,Powdery,2006-06-15,2012-09-26,2295d,EP-2032516-B1
41678-36-8,Tetrahydromuguol,Citrus,Fresh,Lily,2006-05-26,2018-05-01,4358d,WO-2007137410-A1
119-61-9,Benzophenone,Floral,Sweet,Herbal,2006-04-14,2021-10-19,5667d,EP-2017281-A1
57345-19-4,"Dodecahydro-3,8,8,11a-tetramethyl-5H-3,5a-epoxynaphth[2,1-c]oxepin",Woody,Amber,Dry,2006-02-13,2011-06-07,1940d,US-2007190007-A1
65418-69-1,cis-Tetrahydro-2-isobutyl-4-methylpyran-4-ol,Floral,Fresh,Green,2005-11-14,2016-03-30,3789d,EP-1948773-A1
929253-05-4,"Octanal, 6-methoxy-2,6-dimethyl-",Ozonic,Herbal,Citrus,2005-09-16,,,AT-420846-T
